"fastq.label","pop.brief","pop.code.structure"
"ELM-MOR-113","chang",2
"ELM-MOR-72B","mi",6
"ULMBER-1","cast",1
"ULMBER-2","cast",1
"ULMBERvLAS-1","cast",1
"ULMCARxJAP-1","jp",5
"ULMCAS-1","cast",1
"ULMCHE-1","chen",3
"ULMCHE-2","jp",5
"ULMDAVvMAN-1","dv",4
"ULMDAVvMAN-2","dv",4
"ULMGAU-1","cast",1
"ULMGAU-2","cast",1
"ULMGLAU-1","cast",1
"ULMJAP-1","jp",5
"ULMJAP-2","jp",5
"ULMJAPxWIL-1","jp",5
"ULMJAPxWIL-2","jp",5
"ULMMIC-1","mi",6
"ULMMOR-4","jp",5
"ULMMUL-1","cast",1
"ULMPROP-1","jp",5
"ULMPROP-2","jp",5
"ULMPROPvSUB-1","dv",4
"ULMPROPvSUB-2","dv",4
"ULMSZE-1","sz",7
"ULMSZE-2","sz",7
"ULMWIL-2","jp",5
"ULMWIL-3","jp",5
