fastq.label,pop.brief,updated labels,pop.code.structure,,,,
ULMBER-1,cast,cast_ULMBER-1,1,,"'ULMBER-1',","'cast',","'cast_ULMBER-1',"
ULMBER-2,cast,cast_ULMBER-2,1,,"'ULMBER-2',","'cast',","'cast_ULMBER-2',"
ULMBERvLAS-1,cast,cast_ULMBERvLAS-1,1,,"'ULMBERvLAS-1',","'cast',","'cast_ULMBERvLAS-1',"
ULMCAS-1,cast,cast_ULMCAS-1,1,,"'ULMCAS-1',","'cast',","'cast_ULMCAS-1',"
ULMGAU-1,cast,cast_ULMGAU-1,1,,"'ULMGAU-1',","'cast',","'cast_ULMGAU-1',"
ULMGAU-2,cast,cast_ULMGAU-2,1,,"'ULMGAU-2',","'cast',","'cast_ULMGAU-2',"
ULMGLAU-1,cast,cast_ULMGLAU-1,1,,"'ULMGLAU-1',","'cast',","'cast_ULMGLAU-1',"
ULMMUL-1,cast,cast_ULMMUL-1,1,,"'ULMMUL-1',","'cast',","'cast_ULMMUL-1',"
ELM-MOR-113,chang,chang_ELM-MOR-113,2,,"'ELM-MOR-113',","'chang',","'chang_ELM-MOR-113',"
ULMCHE-1,chen,chen_ULMCHE-1,3,,"'ULMCHE-1',","'chen',","'chen_ULMCHE-1',"
ULMDAVvMAN-1,dv,dv_ULMDAVvMAN-1,4,,"'ULMDAVvMAN-1',","'dv',","'dv_ULMDAVvMAN-1',"
ULMDAVvMAN-2,dv,dv_ULMDAVvMAN-2,4,,"'ULMDAVvMAN-2',","'dv',","'dv_ULMDAVvMAN-2',"
ULMPROPvSUB-1,dv,dv_ULMPROPvSUB-1,4,,"'ULMPROPvSUB-1',","'dv',","'dv_ULMPROPvSUB-1',"
ULMPROPvSUB-2,dv,dv_ULMPROPvSUB-2,4,,"'ULMPROPvSUB-2',","'dv',","'dv_ULMPROPvSUB-2',"
ULMCARxJAP-1,jp,jp_ULMCARxJAP-1,5,,"'ULMCARxJAP-1',","'jp',","'jp_ULMCARxJAP-1',"
ULMCHE-2,jp,jp_ULMCHE-2,5,,"'ULMCHE-2',","'jp',","'jp_ULMCHE-2',"
ULMJAP-1,jp,jp_ULMJAP-1,5,,"'ULMJAP-1',","'jp',","'jp_ULMJAP-1',"
ULMJAP-2,jp,jp_ULMJAP-2,5,,"'ULMJAP-2',","'jp',","'jp_ULMJAP-2',"
ULMJAPxWIL-1,jp,jp_ULMJAPxWIL-1,5,,"'ULMJAPxWIL-1',","'jp',","'jp_ULMJAPxWIL-1',"
ULMJAPxWIL-2,jp,jp_ULMJAPxWIL-2,5,,"'ULMJAPxWIL-2',","'jp',","'jp_ULMJAPxWIL-2',"
ULMMOR-4,jp,jp_ULMMOR-4,5,,"'ULMMOR-4',","'jp',","'jp_ULMMOR-4',"
ULMPROP-1,jp,jp_ULMPROP-1,5,,"'ULMPROP-1',","'jp',","'jp_ULMPROP-1',"
ULMPROP-2,jp,jp_ULMPROP-2,5,,"'ULMPROP-2',","'jp',","'jp_ULMPROP-2',"
ULMWIL-2,jp,jp_ULMWIL-2,5,,"'ULMWIL-2',","'jp',","'jp_ULMWIL-2',"
ULMWIL-3,jp,jp_ULMWIL-3,5,,"'ULMWIL-3',","'jp',","'jp_ULMWIL-3',"
ELM-MOR-72B,mi,mi_ELM-MOR-72B,6,,"'ELM-MOR-72B',","'mi',","'mi_ELM-MOR-72B',"
ULMMIC-1,mi,mi_ULMMIC-1,6,,"'ULMMIC-1',","'mi',","'mi_ULMMIC-1',"
ULMSZE-1,sz,sz_ULMSZE-1,7,,"'ULMSZE-1',","'sz',","'sz_ULMSZE-1',"
ULMSZE-2,sz,sz_ULMSZE-2,7,,"'ULMSZE-2',","'sz',","'sz_ULMSZE-2',"
